Couplet,Poet
"اُن تي مڌ جو مينھن وساءِ،
ٽڙندو ٽانگڙ جئن پَل پَل.",Sheikh Ayaz
"اڏري ڪائي لات ڪيان،
ڪيسين روڪيندو اَن_ جَل.",Sheikh Ayaz
"تاڙِي مار نہ، جي آيو،
تنھنجي ماڙيءَ تي طوطَل.",Sheikh Ayaz
"تنھن جيونَ کي آگ لڳاءِ،
جنھن جو ناھ ڪرم جو ڦل.",Sheikh Ayaz
"ڪيچ ھجي ڪيڏو بہ پري،
آريءَ پُٺتان آءُ اَٽل.!",Sheikh Ayaz
"ٿر ۾ ٿانئيڪو نہ ٿيو،
ڪوئي ڪوئي ڪارايل.",Sheikh Ayaz
"آخر ڪارونڀار ڪري،
برسي ٿو بُٺ تي بادل.",Sheikh Ayaz
"ھي واريءَ تي وڏ _ ڦڙو،
ھي سانوڻ جو سُرمنڊل.",Sheikh Ayaz
"اي ڪوئل،! ھي ننڊ _ ڦِٽو،
تو جھڙو ڪو ڪوڪ ڪُٺل.",Sheikh Ayaz
"ٻھڳڻ ٻولي تنھنجي لاءِ،
منھنجي ڪوتا آھ ڪجل.",Sheikh Ayaz
"آڌيءَ رات ڀُليءَ جي ڀاڻ،
ٿي اَچُ چوڏھينءَ جي چانڊاڻ.!",Sheikh Ayaz
"اوھيري جي اوڪَ تہ ڏس،!
سياڻو ٿيءُ، صُراحي آڻ.",Sheikh Ayaz
"ڏي جنت سان جام ڀري،
ٻيءَ دنيا جي ڪنھن کي ڪاڻ.!",Sheikh Ayaz
"منھنجيء َ چانئٺ تي ´خيام`،
´روميءَ`سان ڪئي روحِ رھاڻ.",Sheikh Ayaz
"''اڳتي سڀ ڪافر جو ڪوڙ،
جيڪي آھ ھِتي آ ھاڻ.“",Sheikh Ayaz
"رات ملي وينجھر جي ڏيءَ،
جنھن جون اکڙيون ھِيري کاڻ.",Sheikh Ayaz
"جنھن جو مندر روپ سريرُ،
ٺاھيو آ ڪنھن پوڄا ڪاڻ.",Sheikh Ayaz
"ڪارو ساگر جنھن جو روحُ،
جنھن جو جسم چٽي چانڊاڻ.",Sheikh Ayaz
"اونھي جي بي اَنت صدا،
توکي ڪوٺي، ترُھو تاڻ.",Sheikh Ayaz
"ٽڙندِي ٽانگر آھي پيارُ،
جنھن سان ساسيءَ ۾ سرھاڻ.",Sheikh Ayaz
"ٻيو سڀ پاڇي جو پيڇو،
جانِي،! آءُ، جواني ماڻ.!",Sheikh Ayaz
"ڪوئي اَنتيءَ جو اِمڪان،
سَڏُ پڙاڏو ٻئي حيران.",Sheikh Ayaz
"تڙڦي ٿي تھذيب اڃا،
ڪيڏو وحشي آ انسان.!",Sheikh Ayaz
"ساڳيا پاپيءَ جا پنجوڙ،
ساڳيو زر جو آ زندان.",Sheikh Ayaz
"ساڳيو ڏاڍي جو ڏھڪاءُ،
ھيڻو اڳ جھڙو حيران.",Sheikh Ayaz
"ساڳيءَ سوريءَ تي منصور،
ساڳيو سَرمد تي بھتان.",Sheikh Ayaz
"ساڳي گانڌيءَ لئہ گولي،
ساڳيو لال لھوءَ سان گيان.",Sheikh Ayaz
"ساڳي چارڻ جي چِکيا،
ساڳيو شاعر جو شمشان.",Sheikh Ayaz
"اڄ ڀي ڏات مصور جي،
رت ۾ ٻوڙي کائي نان.",Sheikh Ayaz
"جاري ساڳي جنگ جَدل،
عاري ساڳيو امن امان.",Sheikh Ayaz
"اَڄ ڀي ويڙھ نٿي سوچي،
ڪنھن جو ويڙھو ٿيو ويران.",Sheikh Ayaz
"ڪنھن ماتا جي ممتا مُئي،
ڪنھن نينگر جو نڪتو پِرانُ.",Sheikh Ayaz
"ناگاساڪِي ڪافي ناھ،!
سڀڪجھ ناسُ ڪندو نادان.!",Sheikh Ayaz
"مئخاني ۾ پيو نہ پتو،
ٻاھر رات ھُيو طوفان.",Sheikh Ayaz
"اچڻو آھين جي تون، آءُ،
ڪيسين سانڍيان مان سوداءُ.!",Sheikh Ayaz
"ڪنھن ٿي ڄاتو، اي انسان،
توکي ڪھندو تنھنجو ڀاءُ.",Sheikh Ayaz
"جيون پو بہ ڪري ٿو چونڊَ،
توڙي ڏئي ٿو موت ُ چتاءُ.",Sheikh Ayaz
"اندر سيخون، ڪوٽ_ڪڙا،
ٻاھر ڪونجون، ھِير، ھُڳاءُ.",Sheikh Ayaz
"اونھاري جي اوجَل باک،
آءُ، اڱڻ ۾ منھنجي آءُ.!",Sheikh Ayaz
"او زندان جي ڪاري وِلھ،!
تو ۾ آھيان آءُ  اُلاءُ.",Sheikh Ayaz
"وڃ وڃ موٽي، وڃ وڃ، ويڄ،!
گھايل ڄاڻي منھنجو گھاءُ.",Sheikh Ayaz
"او منھنجا محبوب وطن!
تو سان ساڳيو لونءَ لڳاءُ.",Sheikh Ayaz
"ھي منھنجو مظلوم قلم،
سوچيو ناھي جنھن سرچاءُ.",Sheikh Ayaz
"رَت ۾ لَت پَت پنھنجو موت،
ڄاڻان ٿو پر، منھنجي ماءُ.",Sheikh Ayaz
"منھنجي مَن ۾ آ منصور،
سورِي جنھن جو جِيءَ جڙاءُ.",Sheikh Ayaz
"سوچي قاتل جو قاتل،
آيو قاتل تي ڪھڪاءُ.",Sheikh Ayaz
"پر جي ڪوئي نانگ ھجي،
تنھن کان ڪھڙو آھ بچاءُ.!",Sheikh Ayaz
"سُر جي بدلي ڏِين ٿو سونُ،
پو ڀي تو وَٽ ناھ وِڪاءُ.!",Sheikh Ayaz
"او وڻجارا وائيءَ جا،
مَن جو موتي ڪھڙي ڀاءُ.!",Sheikh Ayaz
"گھايل مَن جا گھايل گيت،
جَن ۾ پيڙا جو پَڙلاءُ؛",Sheikh Ayaz
"جِن ۾ ڌرتيءَ ڌرتيءَ دُک،
جِن ۾ ماڻھوءَ ماڻھوءَ گھاءُ.",Sheikh Ayaz
"او ڌرتيء َ جا ريت_ رتا،
سپنا،! سِج_ ورنا سپنا.!",Sheikh Ayaz
"تون اُڀ تي اَڀمان نہ ڪر،
ڌرتي سُرڳ نہ آھي ڇا.؟",Sheikh Ayaz
"دير و حَرم ۾ ھانءُ منجھي،
اَچ، اَچ ٻاھر کاءُ ھوا.!",Sheikh Ayaz
"آءُ ٽپي تون ٽيڙوءَ ڏانھن،
ڇو ٿو ٺاھين ڪوٽ_ ڪڙا.!",Sheikh Ayaz
"ڪنھن جو مندر ڪنھن جو سنک،؟
آ سارو سنسار ُ صدا.!",Sheikh Ayaz
"ڪنھن جي مسجد ڪنھن جي بانگ،؟
ٺاھ ٺڳيءَ جا، ھا، ھا، ھا.!",Sheikh Ayaz
"ڪنھن سُندرتا جي ساکي،
ھيءَ ويساکي پورنما.!",Sheikh Ayaz
"پھتا منھنجا پياسا چَپَ،
توتي جِيون جا جھَرڻا.",Sheikh Ayaz
"ھي مڌ _ ماتا آتا نيڻ،
جھڙا رَس_لوڀِي ڀوَنرا.",Sheikh Ayaz
"ڪير اڱڻ ۾ آئي آھ،
پاڻي تنھنجا ويس وڳا.:",Sheikh Ayaz
"ساڳي چوٽي ساڳي چڳَ،
ساڳي مکڙي تي مايا.",Sheikh Ayaz
"ڇا ڇا ٿي ٻھروپ ڪرين،
منھنجي مڌ_ ماتي ڪوتا.",Sheikh Ayaz
"چوڌاري ساماڻا سُورَ،
پورَب پَڇّم آ پِيڙا.",Sheikh Ayaz
"او ڌرتي، او گرڀَ_ وتي،!
ڏسجي نيٺ تہ ڄمندو ڇا.",Sheikh Ayaz
"شايد ڪوئي نئون انسان،
شايد ڪوئي نئون خدا.!",Sheikh Ayaz
"مون کي رات چيو سُقراط،:
''ھٻڪين ٿون تون ڪيئن ھَيا.!",Sheikh Ayaz
"جڳ کي اَمرت اوتي پاڻ،
وِھُ جِي پيءُ وَٽي بابا.!",Sheikh Ayaz
"ڪنھن جي ھار بہ آھي جيت،
ڪنھن جو موت بہ جيوَت آ.“",Sheikh Ayaz
"_________
سانجھيءَ ٽاڻي ماٽيءَ مَٽ،",Sheikh Ayaz
"کولي پنھنجو کيپُ، ڀَريا.
جھَرڻي جھڙي جھانجھ وَڳي،",Sheikh Ayaz
"جنھن تي جھوميا جوڳيئڙا.
مانڊي ۽ مانڊاڻ مِلي،",Sheikh Ayaz
"ڇا ۾ مَلياميٽ ٿيا.!
_________",Sheikh Ayaz
"ڳوڙھي ڳوڙھي سان ڪجھ سار،
من َ جي سورِ پيو مالھا.",Sheikh Ayaz
"جنھن کي ڪوئي لُڙڪ اَملھ،
مَرڪُ انھيءَ جو مُرڪَ مٺا.!",Sheikh Ayaz
"ڪنھن جي پيڙا جي سرھاڻ،
ٽانگر تي ھي ماڪ ڦڙا.!",Sheikh Ayaz
"ڪاريون راتيون، پارو، پوھَ،
سيءُ، سَوڙ جا اوسيڙا.",Sheikh Ayaz
"تاڃي _ پيٽو جيون جو،
جنھن ۾ سَپنا پَٽ _ ڌاڳا.",Sheikh Ayaz
"ھي ڳاٽ ڳاٽُ ناھي، آ ڏيل َ تي ڏياٽِي،
ٻَھ ٻَھ ڪري ٻَري مون، ھت رات رات ڪائِي.",Sheikh Ayaz
"جا تونس آ طلب ۾، سا ناھ تنھنجي رب ۾،
تون ڪيئن سمجھندين مون، ڇو آرزو اُساٽي.!",Sheikh Ayaz
"ھي ڪفر کان ڪَڙي آ، اسلام کان بڙي آ،
تون پيءُ، جيءُ، ڀَر ڀَر،! اي گھوٽ ھيءَ گھاٽي.",Sheikh Ayaz
"تون پرجھندين نہ پانڌي، جا لوڏَ آ لَڪَن جي،
جا راھَ راھَ ناھي، جا آ سِڌي سنواٽي.",Sheikh Ayaz
"ڀونءِ نہ آئي ڀانءِ، اَلا مان اُڏري ويندو سانءِ،
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"مون سان جاڙَ نہ ڪر، اي جيڏا،! سچ ٿو آءُٗ چوانءِ؛
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"نيٺ تہ ڀانئيندين تون، ھاڻي ڀلي نہ مون کي ڀانءِ؛
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"رھندي جيون جي جھرڻي ۾، ھن جندڙيءَ جي جھانءِ؛
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"تو ۾، مون ۾ ڀيدُ نہ ڪوئي، اَڙي نديءَ جا نِيرَ،
اَڙي نديءَ جا نِيرَ.!",Sheikh Ayaz
"مان پڻ آھيان ڪائي جَڳ جي سندرتا جِي سيرَ،
اَڙي نديءَ جا نِيرَ.!",Sheikh Ayaz
"منھنجي من ۾ چندرما جِي آڌيءَ رات اُڪيرَ،
اَڙي ندي جا نِيرَ.!",Sheikh Ayaz
"منھنجي من ۾ تات ائين، جئن گُھلي ڏکڻ جي ھيرَ،
اَڙي نديءَ جا نِيرَ.!",Sheikh Ayaz
"ڪاريءَ رات، ڪَتيءَ جو پاڇو، ڪيئي نيڻ نياڻُ،
ڪيئي نيڻ نياڻُ.!",Sheikh Ayaz
"جَر ۾ جھرمر، گھَرو، ڪارو، پاڻيءَ جو پھراڻُ،!
ڪيئي نيڻ نياڻُ.!",Sheikh Ayaz
"منھنجي من کي موھي ويو، ھي مَنڊَ بنا مانڊاڻُ،
ڪيئي نيڻ نياڻُ.!",Sheikh Ayaz
"پُٺتي موڙ مَھار،
اَلو ميان، پُٺتي موڙ مھارَ،!",Sheikh Ayaz
"ڇو تون اورانگھي آيو آن، سانگيئڙن جي سارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڪھڙيءَسوچ سَٽيا ھيئن لاھي، چِت تان چندن-ھارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"سُرھي سيج ڇڏي تون نِڪتين، ويڙھي ڪي ويچارَ؛
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڪھڙيءَ اُڻتُڻ کي اَرپي تو، تن جي تات تنوارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڪھڙي مارڳ موھِي آھي، تنھنجي نيڻ َ نھارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"اڳتي لَڪ ُ لَڪ لڱ ڪانڊاري، وِک َ وِکَ ويريء َ وارَ،
اَلو ميان،پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڇو نہ ڇپر ۾ ٿو تون گھارين، ڪنھن ڍولئي جي ڍارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڪيچ وڃين ڪنھن ڪاڻ، پُنھل تون موٽِي آءُ،!
متِي رات نہ رھندي، رانول،! جيون َ مايا ماڻ:",Sheikh Ayaz
"پُنھل تون موٽِي آءُ.!
ٻيھر ھي ڀنڀورُ نہ ملندءِ، آءُ ڀُليءَ جي ڀاڻِ؛",Sheikh Ayaz
"پُنھل تون موٽِي آءُ.!
ھيءَ ڇاتِي، جا آتِي آھي، تيرَ انھيء َ تي تاڻِ؛",Sheikh Ayaz
"پُنھل تون موٽِي آءُ.!
ھي جڳ ھُو جڳ مون سان جَرڪي، مان تنھنجي چانڊاڻِ؛",Sheikh Ayaz
"روز وڪاڻِي، ھاءَ نماڻِي، وينگس وچ بازار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ڪَپڙا رنگبرنگي جنھن جا، چپڙا چاشني دار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"مُنھن مُنھن آ مومل جي ماڙي، اُرھُ اُرھ اسرار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ھر ڪنھن ڪاڻي کي راڻي جو روپ ڏنو ڪلدار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ڪنھن جي واڇ کٿوري ورڇي، ھانوَ ڏني ھُٻڪار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"پوپٽُ پوپٽ ُ اُڏري ڪنھن جِي، گانجو پي گفتار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ڪنھن جي کيسي مان کيڪاريو، ڪلجڳ جي ڪرتار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"وھيء َ وھيءَ جي وَکري پرکي، ورھ ڪيا واپار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ممتا ماريءَ ماء ُ سِٽي ھئي، ڄائيءَ لاءِ ڄمار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ڪنھن ڄاتو ٿي وقت ڪندو ھيئن لوليءَ تي للڪار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"جوڙيو آ جنسارُ بہ ڇا ڇا سڀ پالڻھار،!
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"´چِيت ڪري جي چکجي ڪانھي ڪابہ ڪَڙائي يار،!`
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"نانگو آھيان،نانگو يارَ.!
نانگو آھيان،نانگو يارَ.!",Sheikh Ayaz
"پھتو آھيان ڪاڪ-ڪنڌيءَ تي، چوري پنھنجو چانگو، يارَ،!
نانگو آھيان، نانگو يارَ.!",Sheikh Ayaz
"نڪتو آھيان ھن نگريءَ ۾ لاھي سِر جو سانگو، يارَ،!
نانگو آھيان، نانگو يارَ.!",Sheikh Ayaz
"مَن جو ميتُ مَھانگو مون لئہ، سارو ديس سھانگو، يارَ،!
نانگو آھيان، نانگو يارَ.!",Sheikh Ayaz
"ھِيرَ مُئي، او ھِيرَ مُئي !_
ڪير چوي ٿو ھير مئي !",Sheikh Ayaz
"رانجھوء َ وِنجھليءَ ڏانھن نھاريو.
ڪير چوي ٿو ھير مئي !",Sheikh Ayaz
"ونجھليءَ پنھنجو ھانءُ نہ ھاريو،
ڪير چوي ٿو ھير مئي.!",Sheikh Ayaz
"ڏات ڏکوئيءَ ڏونگر ڏاريو،
ڪير چوي ٿو ھير مئي.!",Sheikh Ayaz
"ڌرتيءَ ۽ آڪاشَ پُڪاريو،
ڪير چوي ٿو ھير مئي.!",Sheikh Ayaz
"پيارُ نہ مرندو، ڪيئن بہ ماريو،
ڪير چوي ٿو ھير مئي.!",Sheikh Ayaz
"ويري وِھ َ جا ٿانو َ پياريو،
ڪير چوي ٿو ھير مئي.!",Sheikh Ayaz
"ڪافر مومن ناھيان, وو, !
ڪافر مومن ناھيان.!",Sheikh Ayaz
"آء ُٗ ڀٽائي, آءُٗ درازي, ساڳيو نينھن نڀايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"ساڳيو معنيٰ جو مَڌُ پيئان, سامي نانءُٗ سڏايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"ساڳيا سڏ وارڻيان, يارو,! سوريءَ سيج سجايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"رک ۾ چڻنگ چِتائي ڳوليان, باھ نئين ڀڙڪايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"آءُٗ جواني, آءُٗ جوالا, جُڳ جُڳ کي جرڪايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"جھوريان جھونا ڪوڙ,اَلو ميان,!ڪوٽ سوين ڪيرايان,وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"سَرتا,! تو لئہ سپنا آڻيان, ڪيئي عرش اَڏايان,ٖ وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"تو لئہ پيار ُ پِنا مان, ڌرتي,! سَئن ھڻي سِيڏايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"نگريءَ نگريءَ جو سُک سُونجھان,پنھنجو پاڻ ڀلايان,وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"سڀ جو ھانءُ ھندوري لوڏيان, پنھنجي ننڊ ڦٽايان,وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"چيون ٖ! تنھنجو جوڳي آھيان,ڳالھيون تنھنجون ڳايان، وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"تنھنجيءَ پَل پَل جي پيڙا کي, وائيءَ ۾ وَرنايان، وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"بادل ڙي، بادل ڙي،! منھنجا نيڻ نٿا بس ڪن،!
گَجِي گجِي گھنگھور گھٽائون آگم ۾ اڀرن.!",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
سانوڻ من ڀانوڻ ۾ سرتيون،کلندي کيج وجھن،:",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
رُت آئي، رُت ويئي، جُھولي ۾ ٿا ڏينھن جھُلن،",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
مون ڳھليءَ جئن ڳولي ٿي، ڪجھ پن پن منجھ پَون،",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
ڀيڄ ڀنيءَ ڀنڀور مٿان اڄ بوندون ٿيون برسن،",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
ڪھڙي يار پنھونءَ کي چايو آڌيءَ رات اُٺن،!",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
ھاءِ ولھيءَ کي ڪيئن وساريو سُڃ  ۾ سانگيئڙن،!",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
بادل ڙي،بادل ڙي.!",Sheikh Ayaz
"ڪوئي آھي، ڪوئي آھي،!
جيڪو سچ چوي،؟",Sheikh Ayaz
"ڏينھن ڏٺي جو ھن ڏائڻ تان جيڪو گھونگھٽ لاھي،؟
جيڪو سچ چوي،؟",Sheikh Ayaz
"سانگ سياست جا سمجھي،جو ٺاھ ٺڳيءَ جا ڊاھي،
جيڪو سچ چوي،؟",Sheikh Ayaz
"اونداھيءَ سان جيڪو اُلجھي، چانڊوڪيءَ کي چاھي،
جيڪو سچ چوي،؟",Sheikh Ayaz
"سنڌڙي، مون کي سڏ تہ ڏي،! تون چُپ ڇو آھين،ڇاھي.!
جيڪو سچ چوي،؟",Sheikh Ayaz
"وڻ ۾ پنَّ ته ڪيئي آهن
پوءِ به پن پن هيکلڙو",Sheikh Ayaz
"دور ڪَدم تان پنڇيءَ وانگر
هيٺ ڏسي بَن هيکلڙو",Sheikh Ayaz
"لهرون، لُڙ، درياهه گهڻيئي
تار تري تَن هيکلڙو",Sheikh Ayaz
"ڪنهن کي آڇي،ڪنهن سان ورڇي
منُ اُتم – ڌنُ هيکلڙو",Sheikh Ayaz
"ايڏي چُپّ اپار
چڱي ته ناهي يار",Sheikh Ayaz
"جي تو وٽ ڪوئي گيت نه آ
ڪا جيءَ منجهان جهونگار",Sheikh Ayaz
"ايڏي چُپّ چڱي ته نه آهي!
ڀُڻ جهُڻ، ڪا ڀڻڪار",Sheikh Ayaz
"زنجيرن لئه زور نه آهه جي
ڪا جهيڻي جهڻڪار",Sheikh Ayaz
"ڪاري رات ابد تائين آ،
اوندههِ تارون تار",Sheikh Ayaz
"پوءِ به ٿي ڪا جيءَ جهروڪا
لُنءَ لُنءَ منجهه لغار!
",Sheikh Ayaz
"ڳاءِ وري ڪجهه ڳاءِ بانورا
ڳاءِ وري ڪجهه ڳاءِ",Sheikh Ayaz
