Couplets,Poet
"جين ٿا جهان ۾ ڪي ”مدهوش“ جهڙا،
مٺا مور ماڻهو مکڻ ڪهڙا ڪهڙا.",Ahmed Khan Madhosh
"اگر جڳ ۾ ڪائي وڏي ڳالهه آهي،
ته واعده وفائي وڏي ڳالهه آهي.",Ahmed Khan Madhosh
"ڀلن سان ڀلايون ته هر ڪو ڪري ٿو،
بـَـّرن سان ڀلائي وڏي ڳالهه آهي.",Ahmed Khan Madhosh
"سڄڻ تون ته تون آن، مگر تنهنجي در جو،
گداگر گدائي وڏي ڳالهه آهي.",Ahmed Khan Madhosh
"سکن جا ته ساٿي سوين پر ڏکن ۾،
ٿيڻ حال ڀائي وڏي ڳالهه آهي.",Ahmed Khan Madhosh
"نظر کي نظر سان ملائڻ آ سولو،
مگر آشنائي وڏي ڳالهه آهي.",Ahmed Khan Madhosh
"اڱڻ تي اچي پير پائي نه پائي،
رُڳو هن جي ”ها“ ئي وڏي ڳالهه آهي.",Ahmed Khan Madhosh
"اڄ عجيبا! اک اڙائي، تو وڏو ٿورو ڪيو،
گهُور گهَرِيءَ ساڻ گهائي، تو وڏو ٿورو ڪيو.",Ahmed Khan Madhosh
"گُل وفائن جا مون حاضر جيئن ڪيا تُنهنجي اڳيان،
دل جي دامن کي وڇائي، تو وڏو ٿورو ڪيو.",Ahmed Khan Madhosh
"مون اياڻي ڪنهن نه ڪم جهڙي، ڪريل انسان کي،
پيار سان پنهنجو بنائي، تو وڏو ٿورو ڪيو.",Ahmed Khan Madhosh
"عشق جون ڳالهيون رهيون جي تنهنجي منهنجي درميان،
لوڪ کان تن کي لڪائي، تو وڏو ٿورو ڪيو.",Ahmed Khan Madhosh
"وقت جي اوجهڙ ۾ تنها ٿيڙ کائيندو ڏسي،
مون رُليل کي راهَه لائي، تو وڏو ٿورو ڪيو.",Ahmed Khan Madhosh
"تُنهنجي نظرن تي لڳا پهرا ته ڀي نظرون کڻي،
مامَ ۾ سڀ ڪجهه ٻُڌائي، تو وڏو ٿورو ڪيو.",Ahmed Khan Madhosh
"سور سختين جا جبل سر جي مٿان اُڇلائي نيٺ،
آزمائي آزمائي، تو وڏو ٿورو ڪيو.",Ahmed Khan Madhosh
"سمجهي بيڪارو جڏهن پنهنجن ڌڪاري هو ڇڏيو،
دوستيءَ جو هٿ وڌائي، تو وڏو ٿورو ڪيو.",Ahmed Khan Madhosh
