Couplets,Poet
"لڪايو مون، سُرهاڻ چغلي هنئي
پڇن پيا هتي ڪير آئي هئي؟",Tanveer Abbasi
"نهاري ۽ نظرن کي ڦيري ڇڏيئي
ٻنهي جي انهيء ۾ چڱائي هئي۔",Tanveer Abbasi
"هئا وار، چَپ، ڳل سڀ هڪ طرف
طرف ٻئي غزل گيت وائي هئي۔",Tanveer Abbasi
"سدائين ائين ڪين گهٻرائبو آ
کُليءَ دل سان ڪڏهن ته ڳالهائبو آ",Tanveer Abbasi
"نه شوخن سان دل کي ڪو اٽڪائبو آ
جي اٽڪائبو آ ته پڇتائبو آ",Tanveer Abbasi
"ٻين جي اڳيان جيئن شرمائجو ٿا
اسان جي اڳيان ايئن نه شرمائبو آ",Tanveer Abbasi
"سڄي عمر پڙهبو پيو آ سبق هڪ
پنو عشق جو ايئن نه اٿلائبو آ",Tanveer Abbasi
"زبان مان جڏهن ڪو اکر ڪين اُڪلي
انهيءَ وقت اکڙين سان ڳالهائبو آ",Tanveer Abbasi
"اوهان سان رڳو دل کي وندرائبو آ
نه کٽبو ئي آهي نه هارائبو آ",Tanveer Abbasi
"ڪڏهن دشمنن ۾ به ڊپ ناهي ٿيندو
ڪڏهن دوستن ۾ به گهٻرائبو آ",Tanveer Abbasi
"تڏهن شعر تنوير لکبو آ پاڻهي
  جڏهن گهاءُ دل تي ڪوئي کائبو آ ",Tanveer Abbasi
"ڪالهه توسان جو رُسي آيس مان،
بس ائين سمجهه ڪُسي آيس مان.",Tanveer Abbasi
"هاڻي سوچيان ٿو ته ڪاڏي وڃجي،
تنهنجي محفل مان اٿي آيس مان.",Tanveer Abbasi
"در جي کڙڪي ۽ ڏسين مون کي تون،
ڀانئجان ايئن ته ڀُلي آيس مان.",Tanveer Abbasi
"مان ته ڀانيان ٿو هيس تو وٽ ئي،
تون چوين ٿي ته وري آيس مان.",Tanveer Abbasi
"تو وٽ آيس نه ڪڏهن خالي هٿ،
هر دفعي درد کڻي آيس مان.",Tanveer Abbasi
"جيءُ جهوري ڏسان ته ڇا ٿو ٿئي،!
چنگ چوري ڏسان ته ڇا ٿو ٿئي!",Tanveer Abbasi
"ڳالهه دل ۾ رکيم، ته ڪجهه به نه ٿيو،
تو سان اوري ڏسان ته ڇا ٿو ٿئي!",Tanveer Abbasi
"تون پري ٿئين ته ٿيو جيئڻ مشڪل،
آءُ اوري، ڏسان ته ڇا ٿو ٿئي!",Tanveer Abbasi
"سر گهُريم ٿي، ته چنگ ويو کسجي،
سر کي گهوري ڏسان ته ڇا ٿو ٿئي!",Tanveer Abbasi
"پيارو پيارو اهو پَلُ ويو لکجي
تو نهاريو ته غَزلُ ويو لکجي",Tanveer Abbasi
"تنهنجي پوشاڪ جيان ئي سُرهو
جملو ڪو رنگ رَتَلُ ويو لکجي",Tanveer Abbasi
"ڍنڍ جي منهن تي سندءِ جيان
آهي ڪو نيل ڪَمَلُ ويو لکجي",Tanveer Abbasi
"رات جي اک ۾ ڪاتب کان
ڪارو ڪارو آ ڪَجَلُ ويو لکجي",Tanveer Abbasi
"ڪيئن تقدير لکڻ واري کان
عشق سان لفظ اَجَلُ ويو لکجي",Tanveer Abbasi
