Couplets,Poet
مون ڇا ڇا مائيءَ لال ڏٺا، جي لوئيءَ لڄ بچائي ويا!,Sheikh Ayaz
سي جيءَ جيارا ماڻهو ها، سي سڀ کان پيارا ماڻهو ها،,Sheikh Ayaz
جن ساهه ڏئي، ويساهه ڏنو، جي دل ۾ دود دُکائي ويا.,Sheikh Ayaz
ڪلهه رات مسافر آيا ها، جن پنهنجا جيءَ جلايا ها،,Sheikh Ayaz
ٿي ڇاڇا ڄرُ ڪا ڄاڻ ڪري! هو ڪيڏا مچ مچائي ويا.,Sheikh Ayaz
ڇا ڇا نه وسيهر ـ ونگ هيا! پر نانگاير نسنگ هيا!,Sheikh Ayaz
جي تنهنجو روپ نکاري ويا، جي تنهنجي سيندڌ سجائي ويا.,Sheikh Ayaz
ڇانعرا ها، ڇا نينهن هيا! هو مڙس هيا يا شينهن هيا!,Sheikh Ayaz
جي ڏونگرـ ڏيل ڏڪائي ويا، گجگوڙ ڪري گرمائي ويا.,Sheikh Ayaz
آ ڪنهن ڪنهن ماڻهوءَ منجهه مڻيا، پر مون کي اهڙا مڙس وڻيا،,Sheikh Ayaz
جي سارو جڳ جرڪائي ويا، پر پنهنجو پاڻ ڀلائي ويا.,Sheikh Ayaz
جن پاسو ورتو ڪوڙ ڪنان، هي مڙس نه ويندا مور منان،,Sheikh Ayaz
جن واڪي واڪي وس ڪيا، جي سرو سچ ٻڌائي ويا.,Sheikh Ayaz
جن پاسو ورتو ڪوڙ ڪنان، هي مڙس نه ويندا مور منان،,Sheikh Ayaz
جن واڪي واڪي وس ڪيا، جي سارو سچ ٻڌائي ويا.,Sheikh Ayaz
هو بادل بادل آيا ها، جن جل ٿل ڀال ڀلايا ها.,Sheikh Ayaz
اي کيت کِڙو، اوشال ٽڙو! هو پنهنجا مينهن وسائي ويا.,Sheikh Ayaz
ويا پريت ڏئي هو پاڻيارا، اڄ ڪينجهر تن جا ڪاڻيارا،,Sheikh Ayaz
ڇا راڱا تن سان سان رُڃ ڪيا ، جي تنهنجي اُڃ اجهائي ويا!,Sheikh Ayaz
هو پيار ـ پتنگا کامي ويا، ۽ ڪيڏو دور اُڏامي ويا !,Sheikh Ayaz
پر تنهنجي منهنجي ڏيئي ۾ ، هو پنهنجي جوت سمائي ويا,Sheikh Ayaz
اڄ ڇو هه انهن جا ڇوليءَ ۾ ، اڄ ٻول انهن جا ٻوليءَ ۾ ،,Sheikh Ayaz
اي ڌرتي ؟ تنهنجي جهوليءَ ۾ جي سوريهه سيُس ڇپائي ويا.,Sheikh Ayaz
هي چوٽيءَ چوٽيءَ تي مشعل! هي جهوليءَ جهوليءَ گل ڦل!,Sheikh Ayaz
ويا سانول ڇا ڇا ارڏا ڪنڌ، اڏي! جي توکي ميندي لائي ويا.,Sheikh Ayaz
هي برهه به ڪوئي بڙ آهي! ڇا جانٺي اُن جي جڙ آهي!,Sheikh Ayaz
مون اُن ۾ ڪيئي ڏار ڏٺا، جي ڇانو ڪري، من ڀائي ويا.,Sheikh Ayaz
اي آري! تنهنجي اُڍ هئي، پر ڏنگر ڏاڍو ڏاڍ ڪيا !,Sheikh Ayaz
هي تنهنجا پيارا پيراها، جي پنهنجو پنڌ پڄائي ويا,Sheikh Ayaz
ڪيئن تو کي ڪاري ٻاٽ مڃان، ٿي چڻنگ ڪري چمڪاٽ اڃان،,Sheikh Ayaz
آٽم ٽم ٽم ٽم لاٽ اڃان، جا جوڳي ڪالهه جلائي ويا.,Sheikh Ayaz
هيءَ جانِ ته اچڻي وڃڻي آ، پر مرندي مات نه مڃڻي آ ،,Sheikh Ayaz
مون اهڙا سو سانو نت ڏٺا، جي پنهنجو هٺ هلائي ويا.,Sheikh Ayaz
ڏس! باک ڀليري آئي آ، ڏس! سنڌ مٿان سرهائي آ!,Sheikh Ayaz
ڇو تن جي لاءِ ”اياز“ رُنين، جي مارو ماڳ مٽائي ويا!,Sheikh Ayaz
پرينءَ سان پکا ڪير ويهي اڏي,Sheikh Ayaz
گھڙي لنئو لڳائي، هلون ٿا لڏي,Sheikh Ayaz
جھڙاليون لڳائي وئين جيءَ ۾,Sheikh Ayaz
اڙي جيءُ آئين اسان جي تڏي,Sheikh Ayaz
اُتر کان اچي ٿي اُٺي جي هوا,Sheikh Ayaz
ڀَري آ، ڀَري آ، نصيحت نه ڏي,Sheikh Ayaz
ميان، ڪير مَي جون ميارون سهي,Sheikh Ayaz
اسان کي ڇڏي ڏي، ڇڏي ، ڇڏي ڏي,Sheikh Ayaz
نه ٿيندي نه ٿيندي محبت فنا,Sheikh Ayaz
هلي آ، ڀلي ويهه گوڏو گڏي,Sheikh Ayaz
”ڀٽائي“ به هو ميڪدي ۾ ”اياز“,Sheikh Ayaz
ڏنائين پئي مَي اسان کي سڏي,Sheikh Ayaz
جا خدا کان نہ ٿي، جا نہ امڪان ۾.,Sheikh Ayaz
ڪالهہ کان ڳالهہ سا آهہ انسان ۾..,Sheikh Ayaz
رات نانگڻ بہ آ، رات جوڳڻ بہ آ،,Sheikh Ayaz
رک جٽائون انهيءَ جون سدا ڌيان ۾!,Sheikh Ayaz
هو تہ مونکي چتا تي وٺي ٿي ويا،,Sheikh Ayaz
مينهن برسي پيو ڪالهہ شمشان ۾..,Sheikh Ayaz
بادلو! بادلو! ڪجھ تہ برسي وڃو،,Sheikh Ayaz
رات ترسي وڃو هن بيابان ۾..,Sheikh Ayaz
عشق تنهنجو اياز آهہ انسان سان،,Sheikh Ayaz
هو چون ٿا تہ تون نانهہ ايمان ۾..,Sheikh Ayaz
نئين تمنا، نئون ترانو، نئون چمن لاءِ آشيانو,Sheikh Ayaz
نه هو قُفس آ نه آب دانو، اُڏام، ساڳيو نه آ زمانو,Sheikh Ayaz
ازل ابد سمجه ۾ نه ايندو، نه سمجهبو آهه ڇا زمانو,Sheikh Ayaz
اچو ته بدلائجي زمانو، اچو جوانو، اچو جوانو,Sheikh Ayaz
هتي سوين رِند روز آيا، نوان نوان دَور جن هلايا,Sheikh Ayaz
نه آهه قدرت ڪڏهن به خالي، کليو پيو آ شراب خانو,Sheikh Ayaz
صديون جهلڪ لئه جهُڪي ڪيا توهزار سجدا، نه سمجهندين تون,Sheikh Ayaz
نگار کان بي نياز آهي، ائين هلي ٿو نگارخانو,Sheikh Ayaz
اياز ڪنهن جي سرود سان رات روح ۾ تازگي اچي وئي,Sheikh Ayaz
ٿيو فلڪ تي وري ستارن جو جهومندو قافلو روانو.,Sheikh Ayaz
سنڌڙي! تنهنجي سينڌ ڏسي،,Sheikh Ayaz
رات ڀٽائي گهوٽ رُنو؛,Sheikh Ayaz
منهنجي من جي مٽيءَ ۾،,Sheikh Ayaz
ڏاڙهونءَ جهڙو ڏنڀ ڦٽو؛,Sheikh Ayaz
هينئون گهايل هرڻيءَ جيئن،,Sheikh Ayaz
سامهون سارو وارياسو.,Sheikh Ayaz
ڪاريون راتيون،پارو پوھ,Sheikh Ayaz
سي ، سوڙ جا اوسيڙا،,Sheikh Ayaz
ڳولا ڪن ٿا روز “اياز“,Sheikh Ayaz
ڪنهن جي تنهنجا اوسيڙا.,Sheikh Ayaz
خبر ناهي ته ڇو آهي ۽ ڇا آهي,Sheikh Ayaz
محبت زندگيءَ جي انتها آهي,Sheikh Ayaz
محبت ئي اسان جي منزل آخر,Sheikh Ayaz
محبت ئي اسان جي رهنما آهي,Sheikh Ayaz
اجهودار ورسن جو ڪو پيام آيو,Sheikh Ayaz
ملي اڄ زلفِ جانان سان صبا آهي,Sheikh Ayaz
زمين جي تشنه لب جنت پڪاري ٿي,Sheikh Ayaz
ڪٿي هو باد و باران جو خدا آهي,Sheikh Ayaz
پوي ٿي ماڪ، چانڊوڪي ٿڌيري آ,Sheikh Ayaz
اياز اڄ رات ڪِٿ هو بيوفا آهي,Sheikh Ayaz
اي دل نه کاءُ ڌوڪو، اچ پيءُ هي پروڪو,Sheikh Ayaz
ساغر وچان ڏسي ٿو، هيءَ ڪائنات ڪو ڪو,Sheikh Ayaz
گهر گهر، گهٽيءَ گهٽيءَ ۾، تون گهنڊ ٿو وڄائين,Sheikh Ayaz
اي، ميفروش! تنهنجو هر هنڌ آهي هوڪو,Sheikh Ayaz
اڄ رات شبنمي آ، ڇو جام ۾ ڪمي آ,Sheikh Ayaz
هن وقت ڪا به ناهي، مون تي ميار لوڪو,Sheikh Ayaz
هي ناز جون نهارون، تون اڳ ۾ به آزمايون,Sheikh Ayaz
شايد جٽاءُ ڪن اڄ، اي عشق کاءُ ڌوڪو,Sheikh Ayaz
هي تندُ تيز طوفان، مان پار ڪيئن پهچان,Sheikh Ayaz
سوچو ته ناخدائو، آهي به آسرو ڪو,Sheikh Ayaz
تيسين اياز هن کي، پورو پسي نه سگهندين,Sheikh Ayaz
جيسين کلي نه جاني! ڪو جيءَ ۾ جهروڪو,Sheikh Ayaz
