Couplet,Author
"اُن تي مڌ جو مينھن وساءِ،
ٽڙندو ٽانگڙ جئن پَل پَل.",Sheikh Ayaz
"اڏري ڪائي لات ڪيان،
ڪيسين روڪيندو اَن_ جَل.",Sheikh Ayaz
"تاڙِي مار نہ، جي آيو،
تنھنجي ماڙيءَ تي طوطَل.",Sheikh Ayaz
"تنھن جيونَ کي آگ لڳاءِ،
جنھن جو ناھ ڪرم جو ڦل.",Sheikh Ayaz
"ڪيچ ھجي ڪيڏو بہ پري،
آريءَ پُٺتان آءُ اَٽل.!",Sheikh Ayaz
"ٿر ۾ ٿانئيڪو نہ ٿيو،
ڪوئي ڪوئي ڪارايل.",Sheikh Ayaz
"آخر ڪارونڀار ڪري،
برسي ٿو بُٺ تي بادل.",Sheikh Ayaz
"ھي واريءَ تي وڏ _ ڦڙو،
ھي سانوڻ جو سُرمنڊل.",Sheikh Ayaz
"اي ڪوئل،! ھي ننڊ _ ڦِٽو،
تو جھڙو ڪو ڪوڪ ڪُٺل.",Sheikh Ayaz
"ٻھڳڻ ٻولي تنھنجي لاءِ،
منھنجي ڪوتا آھ ڪجل.",Sheikh Ayaz
"آڌيءَ رات ڀُليءَ جي ڀاڻ،
ٿي اَچُ چوڏھينءَ جي چانڊاڻ.!",Sheikh Ayaz
"اوھيري جي اوڪَ تہ ڏس،!
سياڻو ٿيءُ، صُراحي آڻ.",Sheikh Ayaz
"ڏي جنت سان جام ڀري،
ٻيءَ دنيا جي ڪنھن کي ڪاڻ.!",Sheikh Ayaz
"منھنجيء َ چانئٺ تي ´خيام`،
´روميءَ`سان ڪئي روحِ رھاڻ.",Sheikh Ayaz
"''اڳتي سڀ ڪافر جو ڪوڙ،
جيڪي آھ ھِتي آ ھاڻ.“",Sheikh Ayaz
"رات ملي وينجھر جي ڏيءَ،
جنھن جون اکڙيون ھِيري کاڻ.",Sheikh Ayaz
"جنھن جو مندر روپ سريرُ،
ٺاھيو آ ڪنھن پوڄا ڪاڻ.",Sheikh Ayaz
"ڪارو ساگر جنھن جو روحُ،
جنھن جو جسم چٽي چانڊاڻ.",Sheikh Ayaz
"اونھي جي بي اَنت صدا،
توکي ڪوٺي، ترُھو تاڻ.",Sheikh Ayaz
"ٽڙندِي ٽانگر آھي پيارُ،
جنھن سان ساسيءَ ۾ سرھاڻ.",Sheikh Ayaz
"ٻيو سڀ پاڇي جو پيڇو،
جانِي،! آءُ، جواني ماڻ.!",Sheikh Ayaz
"ڪوئي اَنتيءَ جو اِمڪان،
سَڏُ پڙاڏو ٻئي حيران.",Sheikh Ayaz
"تڙڦي ٿي تھذيب اڃا،
ڪيڏو وحشي آ انسان.!",Sheikh Ayaz
"ساڳيا پاپيءَ جا پنجوڙ،
ساڳيو زر جو آ زندان.",Sheikh Ayaz
"ساڳيو ڏاڍي جو ڏھڪاءُ،
ھيڻو اڳ جھڙو حيران.",Sheikh Ayaz
"ساڳيءَ سوريءَ تي منصور،
ساڳيو سَرمد تي بھتان.",Sheikh Ayaz
"ساڳي گانڌيءَ لئہ گولي،
ساڳيو لال لھوءَ سان گيان.",Sheikh Ayaz
"ساڳي چارڻ جي چِکيا،
ساڳيو شاعر جو شمشان.",Sheikh Ayaz
"اڄ ڀي ڏات مصور جي،
رت ۾ ٻوڙي کائي نان.",Sheikh Ayaz
"جاري ساڳي جنگ جَدل،
عاري ساڳيو امن امان.",Sheikh Ayaz
"اَڄ ڀي ويڙھ نٿي سوچي،
ڪنھن جو ويڙھو ٿيو ويران.",Sheikh Ayaz
"ڪنھن ماتا جي ممتا مُئي،
ڪنھن نينگر جو نڪتو پِرانُ.",Sheikh Ayaz
"ناگاساڪِي ڪافي ناھ،!
سڀڪجھ ناسُ ڪندو نادان.!",Sheikh Ayaz
"مئخاني ۾ پيو نہ پتو،
ٻاھر رات ھُيو طوفان.",Sheikh Ayaz
"اچڻو آھين جي تون، آءُ،
ڪيسين سانڍيان مان سوداءُ.!",Sheikh Ayaz
"ڪنھن ٿي ڄاتو، اي انسان،
توکي ڪھندو تنھنجو ڀاءُ.",Sheikh Ayaz
"جيون پو بہ ڪري ٿو چونڊَ،
توڙي ڏئي ٿو موت ُ چتاءُ.",Sheikh Ayaz
"اندر سيخون، ڪوٽ_ڪڙا،
ٻاھر ڪونجون، ھِير، ھُڳاءُ.",Sheikh Ayaz
"اونھاري جي اوجَل باک،
آءُ، اڱڻ ۾ منھنجي آءُ.!",Sheikh Ayaz
"او زندان جي ڪاري وِلھ،!
تو ۾ آھيان آءُ  اُلاءُ.",Sheikh Ayaz
"وڃ وڃ موٽي، وڃ وڃ، ويڄ،!
گھايل ڄاڻي منھنجو گھاءُ.",Sheikh Ayaz
"او منھنجا محبوب وطن!
تو سان ساڳيو لونءَ لڳاءُ.",Sheikh Ayaz
"ھي منھنجو مظلوم قلم،
سوچيو ناھي جنھن سرچاءُ.",Sheikh Ayaz
"رَت ۾ لَت پَت پنھنجو موت،
ڄاڻان ٿو پر، منھنجي ماءُ.",Sheikh Ayaz
"منھنجي مَن ۾ آ منصور،
سورِي جنھن جو جِيءَ جڙاءُ.",Sheikh Ayaz
"سوچي قاتل جو قاتل،
آيو قاتل تي ڪھڪاءُ.",Sheikh Ayaz
"پر جي ڪوئي نانگ ھجي،
تنھن کان ڪھڙو آھ بچاءُ.!",Sheikh Ayaz
"سُر جي بدلي ڏِين ٿو سونُ،
پو ڀي تو وَٽ ناھ وِڪاءُ.!",Sheikh Ayaz
"او وڻجارا وائيءَ جا،
مَن جو موتي ڪھڙي ڀاءُ.!",Sheikh Ayaz
"گھايل مَن جا گھايل گيت،
جَن ۾ پيڙا جو پَڙلاءُ؛",Sheikh Ayaz
"جِن ۾ ڌرتيءَ ڌرتيءَ دُک،
جِن ۾ ماڻھوءَ ماڻھوءَ گھاءُ.",Sheikh Ayaz
"او ڌرتيء َ جا ريت_ رتا،
سپنا،! سِج_ ورنا سپنا.!",Sheikh Ayaz
"تون اُڀ تي اَڀمان نہ ڪر،
ڌرتي سُرڳ نہ آھي ڇا.؟",Sheikh Ayaz
"دير و حَرم ۾ ھانءُ منجھي،
اَچ، اَچ ٻاھر کاءُ ھوا.!",Sheikh Ayaz
"آءُ ٽپي تون ٽيڙوءَ ڏانھن،
ڇو ٿو ٺاھين ڪوٽ_ ڪڙا.!",Sheikh Ayaz
"ڪنھن جو مندر ڪنھن جو سنک،؟
آ سارو سنسار ُ صدا.!",Sheikh Ayaz
"ڪنھن جي مسجد ڪنھن جي بانگ،؟
ٺاھ ٺڳيءَ جا، ھا، ھا، ھا.!",Sheikh Ayaz
"ڪنھن سُندرتا جي ساکي،
ھيءَ ويساکي پورنما.!",Sheikh Ayaz
"پھتا منھنجا پياسا چَپَ،
توتي جِيون جا جھَرڻا.",Sheikh Ayaz
"ھي مڌ _ ماتا آتا نيڻ،
جھڙا رَس_لوڀِي ڀوَنرا.",Sheikh Ayaz
"ڪير اڱڻ ۾ آئي آھ،
پاڻي تنھنجا ويس وڳا.:",Sheikh Ayaz
"ساڳي چوٽي ساڳي چڳَ،
ساڳي مکڙي تي مايا.",Sheikh Ayaz
"ڇا ڇا ٿي ٻھروپ ڪرين،
منھنجي مڌ_ ماتي ڪوتا.",Sheikh Ayaz
"چوڌاري ساماڻا سُورَ،
پورَب پَڇّم آ پِيڙا.",Sheikh Ayaz
"او ڌرتي، او گرڀَ_ وتي،!
ڏسجي نيٺ تہ ڄمندو ڇا.",Sheikh Ayaz
"شايد ڪوئي نئون انسان،
شايد ڪوئي نئون خدا.!",Sheikh Ayaz
"مون کي رات چيو سُقراط،:
''ھٻڪين ٿون تون ڪيئن ھَيا.!",Sheikh Ayaz
"جڳ کي اَمرت اوتي پاڻ،
وِھُ جِي پيءُ وَٽي بابا.!",Sheikh Ayaz
"ڪنھن جي ھار بہ آھي جيت،
ڪنھن جو موت بہ جيوَت آ.“",Sheikh Ayaz
"_________
سانجھيءَ ٽاڻي ماٽيءَ مَٽ،",Sheikh Ayaz
"کولي پنھنجو کيپُ، ڀَريا.
جھَرڻي جھڙي جھانجھ وَڳي،",Sheikh Ayaz
"جنھن تي جھوميا جوڳيئڙا.
مانڊي ۽ مانڊاڻ مِلي،",Sheikh Ayaz
"ڇا ۾ مَلياميٽ ٿيا.!
_________",Sheikh Ayaz
"ڳوڙھي ڳوڙھي سان ڪجھ سار،
من َ جي سورِ پيو مالھا.",Sheikh Ayaz
"جنھن کي ڪوئي لُڙڪ اَملھ،
مَرڪُ انھيءَ جو مُرڪَ مٺا.!",Sheikh Ayaz
"ڪنھن جي پيڙا جي سرھاڻ،
ٽانگر تي ھي ماڪ ڦڙا.!",Sheikh Ayaz
"ڪاريون راتيون، پارو، پوھَ،
سيءُ، سَوڙ جا اوسيڙا.",Sheikh Ayaz
"تاڃي _ پيٽو جيون جو،
جنھن ۾ سَپنا پَٽ _ ڌاڳا.",Sheikh Ayaz
"ھي ڳاٽ ڳاٽُ ناھي، آ ڏيل َ تي ڏياٽِي،
ٻَھ ٻَھ ڪري ٻَري مون، ھت رات رات ڪائِي.",Sheikh Ayaz
"جا تونس آ طلب ۾، سا ناھ تنھنجي رب ۾،
تون ڪيئن سمجھندين مون، ڇو آرزو اُساٽي.!",Sheikh Ayaz
"ھي ڪفر کان ڪَڙي آ، اسلام کان بڙي آ،
تون پيءُ، جيءُ، ڀَر ڀَر،! اي گھوٽ ھيءَ گھاٽي.",Sheikh Ayaz
"تون پرجھندين نہ پانڌي، جا لوڏَ آ لَڪَن جي،
جا راھَ راھَ ناھي، جا آ سِڌي سنواٽي.",Sheikh Ayaz
