"عشق ۾ شرم، عيب آهي پر،
 ڪا حماقت ڪريت جهڙي آ۔ ",Ustad Bukhari
"اوت، استاد، تنهنجي امرت جو،
جوت تر جي اجيت جهڙي آ۔",Ustad Bukhari
 ,Ustad Bukhari
,Ustad Bukhari
,Ustad Bukhari
" جي شاعري​ 
ڪٿي محل ماڙيون، ڪٿي گهر ڪکاوان ڏٺاسين۔​ڪٿي بخمل بدن تي، ته ڪٿي انگ اگهاڙا ڏٺاسين۔
ڪٿي ڪتا ڪارن ۾، ته ڪٿي پوڙها پيادل ڏٺاسين۔
عجب ڪرشمو آ ،،،،، استاد،،،،الله جو،،،،،،،،،،،،،،،،،
ڪٿي ڪڪڙ بادام کائين، ته ڪٿي بک ۾ مرندي ماروئڙا ڏٺاسين۔۔۔۔۔۔۔​ ​​ ​
 ",Ustad Bukhari
,Ustad Bukhari
,Ustad Bukhari
" جي شاعري​ 
 ​ ​ ​نه توکي لهون ٿا نه توکي لڀون ٿا،
يڪو هڪ ٻئي کي وڃايو وتون ٿا۔",Ustad Bukhari
"اسين سمنڊ ناهيون جو ڪو دنگ روڪي،
اسين وقت وانگي اورانگهي لنگهون ٿا۔",Ustad Bukhari
"نه ڪو عشق چرچو نه ڪو حسن چسڪو،
ٻنهي جي مچڻ ۾ پچون ٿا نچون ٿا۔",Ustad Bukhari
"پري کان نهارين ته تاڻيو ملڻ لئه،
ملون ٿا ته اڳتي کان اڳتي وڌون ٿا۔",Ustad Bukhari
"گهڙيء کي گهڙي زندگيون ٿا سنواريو،
ڪتيء کي ڏسي ڪهڪشائون ڪٿيون ٿا۔",Ustad Bukhari
"لُڇون ڇو نه جاني، پڇون ڇون نه پيارا،
نگاهون اٿئون ء زبانون رکون ٿا۔",Ustad Bukhari
"داو ئي اها آ ته ٿيو درد ڀائي،
جدائيء ۾ بيجا بخاري رجهون ٿا۔​ ​ 
​
 ",Ustad Bukhari
,Ustad Bukhari
Couplets,Poet
"وَحۡدَہٗ جَي وَڍِيا، ڪِئا اِلّاَاللهَ اَڌَ،
سِ ڌَڙَ پَسِي سَڌَ، ڪِه اَڀاڳِيَ نہ ٿِئي.",Shah Bhitai
"وَحۡدَہٗ لا شَرِيکَ لَهٗ، اِيُّ ھيڪَڙائِيَ حَقُّ،
ٻِئائِيَ کي ٻَکُ، جَنِ وڌو سي وِرَسِئا.",Shah Bhitai
"پاڻِهۡ پَسي پاڻَ کي، پاڻِهۡ  ئِي محبوبُ،
پاڻِهۡ خَلقي خُوبُ، پاڻِهۡ ئِي طالبُ تِن جو.",Shah Bhitai
"سو ھِيُ، سو ھُو، سـو اَجلُ، سو اللهُ،
سو پِرين، سو پَساھُ، سو ويرِي، سو واھَرُو.",Shah Bhitai
"پڙاڏو، سو سَڏُ، وَرُ وائِيَ، جو جَي لَھين،
ھُئا اَڳِھِمۡ گَڏُ، ٻُڌڻَ ۾ ٻَہ ٿِئا.",Shah Bhitai
"ايڪُ قَصَرُ، دَرَ لَکَ، ڪوڙِين ڪَڻِسِ ڳِڙکِيُون،
جيڏاہُ ڪريان پَرَکَ، تيڏاہُ صاحبُ سامُهون.",Shah Bhitai
"اَگِهي آَگهائِي، رَنجُ پِرِيان کي رَسيو،
چَکِيَم چڱائِي، سورانگهي سُورِيءَ تان.",Shah Bhitai
"سُورِيءَ سَڏُ ٿِيو، ڪا ھَلَندِي جيڏِيُون؟
وَڃَڻُ تَنِ پِيو، نالو نيِهُ ڳِنَنِ جي.",Shah Bhitai
"سُورِيءَ مَٿي سيڻَ، ڪِھَڙي ليکي سَنَرا؟
جيلَه لَڳا نيڻَ، تي سُورِيائي سيجَ ٿِي.",Shah Bhitai
"سُورِيَ چڙهڻُ، سيڄَ پَسڻُ، اِيُ ڪَمُ عاشِقَنِ،
پاھُون ڪِينَ پَسَنِ، سائُو ھَلَنِ سامُها.",Shah Bhitai
"ڪاتِي تِکِي مَ ٿيي، مَرُ مُنِيائي هوءِ،
مانَ وِرمَنِ توءِ، مون پريان جا هَٿڙَا.",Shah Bhitai
"ڪاتي جا قريبَ جي، سا هَڏَ چِيري چَمُ،
عاشقَن پَھِجو اڱُ، للهِ ڪارڻِ وَڍئو.",Shah Bhitai
"جان وَڍين تان ويهُ، نہ تہ وٺِئو واٽَ وانءُ تون،
هِيُ تَنِين جو ڏيهُ، ڪاتِي جَنِين ھَٿَ ۾.",Shah Bhitai
"سِرُ جُدا، ڌَڙَ ڌارَ، دوڳَ جَنِين جا ديڳ ۾،
سي مَرُڪن پَچارَ، ھَڪيا جَنِ جي هَٿَ ۾.",Shah Bhitai
"ديڳيين دوڳَ ڪَڙهنِ، جِتِ ڪَڙِيين ڪَڙَڪو نہ لھي،
تِتي طَبِيبَنِ، چاڪَ چِڪَندا ڇَڏئا.",Shah Bhitai
"سِسِي سي گُهرَنِ، جَي واٽِندَڙَ وِچَ ۾،
اُوءِ ڪِي ٻئو پُڇَنِ، سَرو جَنِ سَنباھِيو؟",Shah Bhitai
"مُلِ مَھَنگو قَطَرو، سِڪَڻُ شَھادتَ،
اَسان عِبادَتَ، نَظَرُ نازُ پِرِيَنِ جو.",Shah Bhitai
"ھَڏِ نہ وَڻي ھاڻِ مُون، ويڄَنِ جِي وِصالَ،
هِنَ مُھجي حالَ، حَبِيبُ ئِي ھادي ٿِئو.",Shah Bhitai
"سوئِي راھَ رَدِّ ڪري، سوئي رَهَنُماءُ،
وَتُعِزُّمَنۡ تَشَآءُ وَتُذِلُّ مَنۡ تَشَآءُ.",Shah Bhitai
"سِڪين ڪُهۡ سلام کي، ڪَرين ڪُهۡ نہ سَلامُ؟
ٻِئا دَرَ تَنِ حَرامُ، اِيُ دَرُ جَنِين دَيکئو.",Shah Bhitai
"مِٺايا مِٺو گَهڻون، ڪَڙو ناھِ ڪلامُ،
سُڪُوتُ ئِي سلامُ، پِريان سَندي پارَ جو.",Shah Bhitai
"پِريان سَندي پارَ جِي، مِڙَئِي مِٺائِي،
ڪانِه ڪَڙائي، چَکين جَي چَيت ڪَري.",Shah Bhitai
"ڄاڻِي ٻُجهي جَنِ، توسين سُورَ سَڃَ ڪِي،
تون ڪِيَ سنديُون تَنِ، پَرَ سين پَچارون ڪرين.",Shah Bhitai
"حَبِيبَنِ هيڪارَ، مَنجها مَھَر سڏُ ڪِئو،
سو مون سڀَ ڄمارَ، اورڻُ اُھوئِي ٿِئو.",Shah Bhitai
"ڪُھِنِ تان ڪَرَ لَھَنِ، ڪَرَ لَھَن تان ڪُھِنِّ،
سيئِي ماءِ مُھَنِّ، سيئِي راحَتَ رُوحَ جِي.",Shah Bhitai
"جان ڪي ڪَري طَبيبُ، دارُون هِنَ دردَ جا،
هَڻيو سي حبيبُ، اُکوڙيو اَڌَ ڪَري.",Shah Bhitai
"هَڻُ حَبِيبَ! هٿُ کَڻِي، ٿيڪ مَ ٿورو لاءِ،
پرين! تنھنجي گهاءِ، مَران ته مانُ لَهان.",Shah Bhitai
"جِتِ حَبيبَ هَڻن، نائُڪَ پَري نينهن جِي،
تتي طبيبَنِ، وِڄا وَڃي وِسَري.",Shah Bhitai
"هَڻين جي حَبيبَ! مَحبَتي مَيا ڪري،
پُڇان ڪِينَ طَبِيبَ، هوندَ گهائنِ سين ٿي گهارِيان.",Shah Bhitai
"چوري چَنگُ، ٻَنگُ لهِي، حَبيبَنِ هنيوس،
ٻُجهان ٻاڻُ لڳوس، ڪاناريو ڪَرَ کڻي.
",Shah Bhitai
"اَڄُ پُڻ ڪَنجهو ڪَنجهَه، واڍوڙڪي مَنهَين،
جُي پُڻ پين سَنجهَه، هُوءِ پِنيُون هُوءِ پَٽِيُون.",Shah Bhitai
"اَڄُ پُڻ ڪهڙي دانهن، واڍوڙڪيءَ مَنهين،
ويڄَ ورائي ٻانهن، چوري چاڪَ نِهاريا.",Shah Bhitai
"ويچارا واڍوڙَ، سَدا شاڪِر سُورَسين،
تاڻِينِ مَٿي توڙ، اوري ڪَنِ نه آسرو.",Shah Bhitai
"ويڄَنِ سين وائيءَ پِيا، ڪِري نه ڪيائون،
جي پَندِ پارِيائُون، ته سِگهائي سَگها ٿِيا.",Shah Bhitai
"ويڄَن سين وائيءَ پيا، ڪِرِي ڪَنِ نه پاڻِ،
اَگها ان اُهڃاڻ، پَسو! سُور سِجهائيا.",Shah Bhitai
"آهي گهڻو اَگهَن جو، تَرَسُ طَبِيبَن،
ڪَيو وَسُ ويڄَن، تان ڪِري ري ڪِينَ ٿئي.",Shah Bhitai
"تَرَسُ طَبِيبَن جو، جَڏَن ڪيو نه جات،
جي ويڄن جي واتِ، دارُونئان سي دُورِ ٿيا.",Shah Bhitai
"اَگها ئي سگها ٿيا، جي ويٺا وَٽِ ويڄَن،
ترسِي طَبيبَنِّ، چيٺي هوند چڱا ڪيا.",Shah Bhitai
"پاڙي ويڄَ هُئامِ، تان مُون مُورُ نه پُڇيا،
تيلاهيِن پِيامِ، موريسَرَ اَکيَنِ ۾.",Shah Bhitai
"هارِئا! تو هِرِي، ڪُپَڇُ ڪايا سين ڪِيو،
ڪَرِيين جي ڪِرِي، ته تون تَوانو ٿِيين.",Shah Bhitai
"ويڄَ! مَ ٻُڪِي ڏي، اَلا! چَڱِي مَ ٿيان،
سَڄَڻُ مانَ اَچي، ڪَرَلاهُو ٿِي ڪَڏِهين.",Shah Bhitai
"هاريا ويڄَ مُياسِ! سُڌِ نه لهن سُورَ جِي،
پرِيان کي چَوندياس، ته تَرَسُ طَبيبَنِ ڇَڏِيو.",Shah Bhitai
"ويهَڻُ ويڄَنِ وَٽِ، جي سِکين ته سَگهو ٿيين،
اَڳِين عادَتَ مَٽِ، ته اَگها! عاجِزُ نه ٿِيِين.",Shah Bhitai
"هُئين ته ويڄَنِ وَٽِ، تون ڪيئن جِيءَ جَڏو ٿيين؟
سِرُ ڏيئِي ۾ سَٽِ، ڪُه نه ڪِيَئِي ڊڀَڙا؟",Shah Bhitai
"ڪُٺِيَس ڪُويڄَنِ، تَنَ طبيبَ نه گَڏِيا،
ڏيئي ڏَنڀَ ڏَڏَنِ، پاڻان ڏِيلُ ڏُکوئيو.",Shah Bhitai
"اَگهَنِ مِڙِي اَڄُ، ڪِيو سَڏُ صِحَتَ کي،
ڏورِ، ڏُکَندا ڀَڄُ، مِهرِيءَ مُنهن ڏيکاريو.",Shah Bhitai
"پُرِي پَتَنگَ آئيا، سِرِي سَهائٖي هيٺِ،
ٿِيندا ڏيٺاري ڏيٺِ، مَٿو ڏِيندا مَچَ کي.",Shah Bhitai
"پَچائي پَهاڻُ، جَنِ رَساڻِئو رُڪَ کي،
تَنِين سندو ڄاڻُ، آهي آڳَڙِيَنِ کي.",Shah Bhitai
"سِرُ سانداڻِ ڪري، پُڇِجِ گَهرُ لُهارَ جو،
ڌَڪَنِ هيٺِ ڌَريٖ، ماَن گَڏيئِي رُڪَ سين.",Shah Bhitai
"سَهين جيئن سانداڻِ، ڌَڪَنِ مَٿي ڌَڪَڙا،
وَهِه وِڃائي پاڻِ، ڏي ڏَٻائُون ڏڱرين.",Shah Bhitai
"ٻارِيو اُجهائِين پِرِين، اُجهايو ٻارِينِ،
مون کي ٿا مارِينِ، لُئا لُهارَنِ جا!",Shah Bhitai
"اَڄُ آڳَڙِيا آئِيا، سُوڌا سِراڻِي،
پياري پاڻِي، تيغُون ڪَندا تِکِيُون.",Shah Bhitai
"اَڄُ آڳَڙِيا آئِيا، سائُو ڪٖي سُڄاڻَ،
لاهِيندا مورِياڻَ، رُڪُ ڪَرِيندا پَڌرو.",Shah Bhitai
"سَرَها ڏِٺَمِ سٖي، جَنِ ساڃاءِ سِراڻِ سين،
تَيغَ تَنِين جي کي، ڪَٽُ نه لڳي ڪَڏهِين.",Shah Bhitai
"ايڪُ پِيالو! ٻه ڄڻا، عشقُ نه ڪري اَڌَ،
اِيَ تان ساعِرَ سَڌَ، ڪَيئِي جا قوال سين.",Shah Bhitai
"جيڏانهن قاتِلَ ڪوڙَ، اَکيُون اوڏانهين کَڻي،
وِهُ تَنِين جِي ووڙَ، جَنِين سانگُ نه ساهَ جو.",Shah Bhitai
"اَکِيون اوڏاهين کَڻي، جيڏانهن قاتلَ ڪُلِ،
مَٿو ڪَنِ نه مُلِ، پِڪَ برابر پانهنجو.",Shah Bhitai
"قاتِلُ ڪمائِي ڪَري، وِهُ ماکِي جي ڪَنِ،
وَٽان ويهِي تَنِ، پِيج ڪي پياليُون.",Shah Bhitai
"آڻي اُتَرَ واءَ، موکِيءَ مَٽَ اُپَٽِيَا،
مَتارا تنهين ساءَ، اَچَنِ سِرَ سَنباهِيو.",Shah Bhitai
"جُہُ سٖي اَڱڻِ آئِيا، ته سَرو ڪَندا سُڃَ،
سائِي ٿينديَنِ اُڃَ، هِي پِيتو! هُو آڻِ ڪِي!",Shah Bhitai
"موکي چوکي نہ ٿئي، اصل اوڇي ذات،
وَٽُيون ڏيئي واتِ، متارا جنھن مارِيا.",Shah Bhitai
"مَتارا مَرِي وِيا، موکِي! تون نَه مَرين!
ڪيٖهِي پَرِ پَرين، ڏُکِي! ڏاتارَنِ ريٖ؟",Shah Bhitai
"مَتارا مَرِي ويا، مَوکِي! تُون ڀِي مَرُ،
تنهنجو ڏوس ڏَمَرُ، ڪونَه سَهَندو اُنِ ريٖ.",Shah Bhitai
"اَڃا کُوريٖ ماڳَ، مَٽَ، ڪُٽِڪا، ڪَٽَ گهڻا،
لاهي ويٖههُ مَ لاڳَ، موکِي مَتارَن جا.",Shah Bhitai
"آٽِي ٿِيءُ اَڱارُ، کامِي کِردارَنِ سين،
پَسين سي ڀَتارَ، پُرِ پِيتوئي جَنِ سين.",Shah Bhitai
"ڪَلاڙِ نِئُون ڪاءِ، مَتِ نه سِکين مون هِنيان!
رُوئنديٖ راتِ، وِهاءِ، چِڪائيندي بَٺِيون.",Shah Bhitai
"موکِيءَ مَٽَ اُپَٽِيا، اَڇا اڱڻ ڌارِ،
اِيندا تو دَربارِ، وِهَ پِيَئندا وَٽِيون.",Shah Bhitai
"ڏِنٖي ڏُکويا، اَڻَ ڏِنٖي راضِي ٿِيا،
صُوفِي تي ٿِيا، جيئن ڪِين کنيائون پاڻ سين.",Shah Bhitai
"صُوفِيءَ صافُ ڪيو، ڌوئِي وَرَقُ وُجودَ جو،
تنهان پوءِ ٿِيو، جِيئَري پَسَڻُ پِرينءَ جو.",Shah Bhitai
"صُوفِي چائين، سَڌَ ڪرين، صُوفِينِ اِيءَ نه صَلاحَ،
ڪاٽي رَکُ ڪُلاهه، وِجُهه اُڇَلي آڳِ ۾.",Shah Bhitai
"عالَمُ آئونءَ ساڻُ، ڀَريو ٿو ڀيٖرَ ڪري،
پاڻَ نه آهي ڄاڻُ، مانڊِيءَ مَنڊُ پَکيڙِيو.",Shah Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، اَندرِ رُوميءَ راءِ،
ماڙُهو اِتِ ڪِياءِ، مَنڊُ نه پَسين مَنڊِيو!",Shah Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، اِيَءَ رومِيءَ جي رُوءِ،
جَنِين ڏِٺِي جُوءِ، تَنِين ڪُڇيو ڪينِڪي.",Shah Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، رُومِيءَ چيو آهي،
تاڙِي جٖي لاهي، ته مَنجَهئيِن مُشاهِدو ٿٖئي.",Shah Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، اِيَءَ رومِيءَ جِي رِهاڻَ،
پِهرِين وِڃائِڻُ پاڻِ، پَسَڻُ پوءِ پِرِيَنِ کي.",Shah Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، اِيَءَ رومِيءَ جِي راحَتَ،
جَنِين ڏِٺِي سَتَ، تَنِين ڪُڇيو ڪِينَڪِي.",Shah Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، اِيَءَ رومِيءَ جِي اوطاقَ،
جي ڀَڄــٖي دَرُ فِراقَ، ته منجهئِين مشاهِدو ٿئـٖي.",Shah Bhitai
"ٿِيا رَسِيلا رَحمانَ سين، سَڳَرُ سُونهِينِ جي،
آئيون تَنِين کي، واڌايُون وِصالَ جُون.",Shah Bhitai
"سا سِٽَ نه سارِينِ، اَلِفُ جنهن جي اَڳَ ۾،
ناحَقُ نِهارِينِ، پَنا ٻِيا پرينءَ لَئي.",Shah Bhitai
"عاشِقُ عَزازِيلُ، ٻيا مِڙَئي سَڌَڙِيا،
مَنجهان سِڪَ سَبِيلَ، لَعنتِي لالُ ٿِئو.",Shah Bhitai
"وِسَريومِ سَبَقُ، پِهرين سِٽَ نه سَنڀَران،
اَڃا هِيءُ وَرَقُ، هَئــٖي! مُطالِع نه ٿِيو!",Shah Bhitai
"ڪيو مُطالعُ مون، هُو جو وَرَقُ وِصالَ جو،
تنهن ۾ تُون هِين تُون، ٻِي لاتِ نه لَحظـٖي جيتري.",Shah Bhitai
"اَکَرَ ڇُتـٖي هيڪَڙي، ٻَهُون جي نه ٻُجَهنِ،
ڪوهُ ڪِبو کي تَنِ، سَڄِي سُڻائي ڳالهڙي.",Shah Bhitai
"پَڙِهيو ٿا پَڙَهَنِ، ڪَڙَهَنِ ڪينَ قُلُوبَ ۾،
پاڻان ڏوهَه چَڙَهَنِ، جِيَ وَرَقَ وَرائِنِ وِتَرا.",Shah Bhitai
"اَکَرُ پَڙههُ اَلِفَ جو، وَرَقَ سَڀِ وِسارِ،
اَندَرُ تُون اُجارِ، پَنا پَڙهندين ڪيترا.",Shah Bhitai
"جيئن جيئن وَرَقَ وَرائِييٖن، تيئن تيئن ڏِٺو ڏوهُه،
تِنهن ڪَهڻيءَ ڪِبو ڪوهُ، جي رَهڻِيءَ رهيو نه سُپِرِين.",Shah Bhitai
"ڪاتِبَ لِکيٖن جيئن، لايو لامُ اَلِفَ سين،
اَسان سَڄَڻُ تيئن، رَهيو آهي رُوحَ ۾.",Shah Bhitai
"ڪو ٿو ڪاڳَرَ ڪورِييٖن، ويٺو وڃاييٖن مَس،
ڏورِ تِئائِين ڏسُ، اَکَرَ جِئائِين جُڙيا.",Shah Bhitai
"هارائِجِ هِنئييٖن ۾، اَلِفَ سَندي اوڙَ،
ته ڪِتابَن جي ڪوڙَ، منجهان ئِي مَعلومُ ٿِئـٖي.",Shah Bhitai
"ڪوڙييٖن ڪِتابَن ۾، حرفُ مِڙوئي هيڪُ،
جي تو نَظَرَ نيڪُ، ته بِسمِ اللهِ ئي بَس ٿئي.",Shah Bhitai
"مُلئين مُٺي، ماءُ! جنهن پِتو ڦِٿو پيٽَ ۾،
سُڃاڻِي اَللهُ، ٽُٻِي ڏِنائين ڌوڙِ ۾،",Shah Bhitai
"اَحد، اَحمَدُ پاڻُ ۾، وِچان مِيمُ فَرَقُ،
آهي مُستَغَرقُ، عالَمُ اِنهِيءَ ڳالهه ۾.",Shah Bhitai
"دائُودِي دَيُون ڪَري، رَڪَنِ ڪونِهي رَنگُ،
گهوڙِيءَ هيٺِ اَيَنگُ، ڪاهِيو پاکَرِئينٖ هَڻي.",Shah Bhitai
"دائُودِي دَيُون ڪَري، رَڪَنِ ڪونِهي چيتُ،
گهوڙِيءَ هيٺِ سُچيتُ، ڪاهِيون پاکَرِئيٖن هَڻي.",Shah Bhitai
"او قابِيلَ! اکين سين، تِيرَ چَلايا تو،
ٻِيو مَرُ ماري سو، جنهن جو پهريون پُورو نَه ٿئٖي.”",Shah Bhitai
"جي هُو پائِنِ ڪانُ ڪمانَ ۾، ته نَئِي ڏِجِ سِينو،
ڪِجي نه ڪِينو، وَڃِي دَرِ دوستنِ جٖي.",Shah Bhitai
"پائي ڪانُ ڪَمانَ ۾، مِيان! مارِ مَ مون،
مون ۾ آهِين تون، مَتان تنهنجو ئِي توکي لڳي.",Shah Bhitai
"ڪَيو ڇَڏِينِ ڪانُ، هَڏِ نه هَڻائِينِ ٿا،
ٿِيا جي نِيشانُ، ته پهرئين سان پُورا هئا.",Shah Bhitai
"لورِي جِتِ لَڳومِ، اُتِ اُڀوئِي آهِيان،
سُورِهيه پِرِين سَندومِ، مانَ ٻاجهائٖي ٻِيو هَڻٖي!",Shah Bhitai
"عاشِقَنِ اَللهَ جِي، مَحبَتَ رَکِي مَنِ،
سَندِي سِڪَ پِرِيَنِ، تَنَ ۾ آهي تَنِ جي.",Shah Bhitai
"عاشِقَنِ اَللهُ، ويرو تارِ نه وِسَري،
آهَه ڪَرِيندي ساهُه، ڪَڏِهن ويندو نِڪَرِي.",Shah Bhitai
"عاشِقَنِ آرامُ، ڪڏِهن تان ڪونه ڪِيو،
طَعني ڪِيا تمامُ، حَبِيباڻي هيٖڪَڙيٖ.",Shah Bhitai
"سِڪَ نه آهي سُٿَرِي، کَڻُ پَرُوڙي پيرُ،
ڪُسَڻَ ڌاران ڪيرُ، ڪَري سَڌَ سِڪَڻَ جِي؟",Shah Bhitai
"جي ڪِين سِڪَڻُ سِکُ، ناتَ پَسُ سِڪَندِيين،
پاسي تَنِين مَ لِڪُ، نينهن نه سُڃَاڻَنِ جي.",Shah Bhitai
"جان جان ناههِ ضَرُورُ، تان تان طبيبُ ناههِ ڪو،
جُهه سو سَرِيو سُورُ، ڪَرَ ويڄُ وَرِ پيو.",Shah Bhitai
"سُورُ جِنِين کي سَرِيو، سَرِي تَنِ صِحَتَ،
مُٺِي مُصِيبَتَ، آهي عاشقن کي.",Shah Bhitai
"جي پِياري پاڻَ، ته ڪَرَهو ٿِي پاڻِي پِيين،
اَڳـٖي اِنَ نياڻَ، اَڻَ ڪوٺِيو ڪونهَ گِهڙي.",Shah Bhitai
"اَڻَ ڪِي عَيان نه ٿيي، ڪِي پَروڙي ڪونهَ،
سِچِي جيٖهي سونَ، مُنهن نه پيئِي ماڙُهين.",Shah Bhitai
"اَڻَ ڪِي عَيان نه ٿيي، ڪِي پَروڙي ڪون،
سا سُونهِين ٿي سونَ، اَمُرُ عَطا جنهن جو.",Shah Bhitai
"جيڪِي ڏِنائُون، سو مان ڳُڻُ ڳَنڍِ ٿيو،
مون کان پُڇيائُون، ٺوڪي اِنهِين ٺوڪَ سين.",Shah Bhitai
"جيڪي ڏِنائون، سو سِرُ ڏيئِي سَهُه، ڄندڙا!
مَ چَئو ڇِنائُون، اِي پُڻ ڳَنڍِيو سَڄڻيٖن.",Shah Bhitai
"نَمِي کَمِي نِهار تون، ڏَمَرُ وڏو ڏُکُ،
مَنجهان صَبُرَ سُکُ، جي سَنوارِيا! سَمُجهين.",Shah Bhitai
"نَمِي کَمِي نِهار تون، ڏَمَرُ ڏولائو،
ٿِيَئِي ساڃائو، جي اُڀِيين اِنَهِين پيرَ تي.",Shah Bhitai
