Couplet,Poet
"هُو پيار پتنگا کامِي ويا، ۽ ڪيڏو دُور اڏامي ويا!
پر تنهنجي منهنجي ڏيئي ۾، هُو پنهنجي جوتِ سَمائي ويا.",Sheikh Ayaz
"ڪلهه رات مسافر آيا ها، جن پنهنجا جيءَ جلايا ها،
ٿي ڇا ڇا ڄَرڪا ڄاڻَ ڪري، هُو ڪيڏا مَچَ مچائي ويا!",Sheikh Ayaz
"ڇا ڇا نه وسيِهَر ـــــــــــــــ وَنگَ هُيا! پر نانگا يار نسنگ هُيا،
ڪي تُنهنجو رُوپ نِکاري ويا، جي تنهنجي سينڌِ سَجائي ويا.",Sheikh Ayaz
"ڇا نعرا ها ڇا نينهن هُيا! هئه مڙس هُيا يا شينهن هُيا!
جي ڏونگر ــ ڏِيلَ ڏڪائي ويا، گجگوڙ ڪري گرمائي ويا.",Sheikh Ayaz
"آ ڪنهن ڪنهن ماڻهوءَ منجهه مڻيا، پر مون کي اهڙا مڙس وڻيا،
جي سارو جڳُ جرڪائي ويا، پر پنهنجو پاڻ ملهائي ويا.",Sheikh Ayaz
"جِن پاسو ورتو ڪُوڙ ڪَنان، هي مُڙس نه ويندا مُور مَنان،
جن واڪي واڪي وَس ڪيا، جي سارو سچ ٻُڌائي ويا.",Sheikh Ayaz
"اڄ ڇوهَه انهن جا ڇوليءَ ۾، اڄ ٻولَ انهن جا ٻوليءَ ۾
اي ڌرتي! تُنهنجيءَ جھوليءَ ۾، جي سُورهيه سِيسُ ڇُپائي ويا.",Sheikh Ayaz
"هي چوٽيءَ چوٽيءَ تي مَشعل، هي جھوليءَ جھوليءَ ۾ گُل ڦُل،
وَيا سانول ڇا ڇا سَڳَ ڇڏي! ڇا جَندڙيءَ کي جَرڪائي ويا!",Sheikh Ayaz
"ڇا سمجهي تن کي جيءَ جَڏي، آ تِن جي ڳاڙهي ڳالهه وڏي،
ها ڇا ڇا ارڏا ڪَنڌ اَڏي! جي تو کي مَيندي لائي ويا.",Sheikh Ayaz
"هي بِرهه به ڪوئي بَڙُ آهي! ڇا جانٺي اُن جي جَڙَ آهي!
مون اُن ۾ ڪيڏا ڏارَ ڏٺا، جي ڇانوَ ڪري ، مَن ڀائي ويا.",Sheikh Ayaz
"اي آري! تنهنجي آڍَ هُئي، پر ڏونگر ڏاڍا ڏاڍ ڪيا!
هِي تُنهنجا پيارا پيرا ها، جي پنهنجو پَنڌُ پُڄائي ويا.",Sheikh Ayaz
"ڪِئن تو کي ڪاري ٻاٽَ مڃان، ٿي چڻنگ ڪري چمڪاٽ اڃا،
آ ٽِم ٽِم ٽِم ٽِم لاٽَ اڃا، جا جوڳي ڪالهه جلائي ويا.",Sheikh Ayaz
"هيءَ جان ته اچڻي وڃڻي آ، پر مرندي مات نه مَڃڻي آ،
مون اهڙا سو ساونت ڏٺا، جي پنهنجو هَٺَ هلائي ويا.",Sheikh Ayaz
"ڏسُ! باکَ ڀليري آئي آ، ڏِسُ! سَنڌُ مٿان سَرهائي آ!
ڇو تن جي لاءِ ”اياز“ رُنين، جي مارُو ماڳُ مَٽائي ويا",Sheikh Ayaz
"هيءَ ڪهڙي مُوڙهي مَت، لوڪو!
ڌرتي به ته آ جَنت، لوڪو.",Sheikh Ayaz
"هي کُنهنبا ويسَ کٿيريءَ تي،
اڄ پريت وڃائي پَت، لوڪو!",Sheikh Ayaz
"هي پيرَ پٽيهر جهڙا ها،
جي پَنڌِ پيا پَربَت، لوڪو!",Sheikh Ayaz
"ڪو مانجهاندي جو ماڳُ به آ؟
آ ساري واٽ اُتَتَ، لوڪو!",Sheikh Ayaz
"اِئن ڪير سڏيندو سوريءَ کي!
ڪنهن ڳالهه مٿان آ ڳَتَ، لوڪو!",Sheikh Ayaz
"مان ٻارُ ته ناهيان، اي جيجل،
جو چنڊُ ڏسان آئيني ۾!",Sheikh Ayaz
"ڪا  اَرتي آتر ويلا آ،
جا گهاوَ وجهي ٿي سيني ۾.",Sheikh Ayaz
"هُو بَرکا بَرکا اچڻو آ،
پر ڪهڙي ماسَ مهيني ۾؟",Sheikh Ayaz
"ڪو ساحِلُ ساحِلُ سپنو هان،
مان ساري رات سَفيني ۾.",Sheikh Ayaz
"هي ديسُ ٻري ٿو نفرت سان،
هي ديسُ  ڪَڙهي ٿو ڪيني ۾.",Sheikh Ayaz
"ٿو اَمرت لاءِ “اياز“ ڏسان،
مان پنهنجي خُونَ پسيني ۾.",Sheikh Ayaz
"هيءَ هُرکُر رَين- بَسيرن جي،
ٿي ويندي ساکَ سَويرن جي.",Sheikh Ayaz
"جي واڳَ وٺين ها ڏاگهَن جي،
ڇو ڪاڻ ڪڍين ها ڏيرن جي؟",Sheikh Ayaz
"او شال! عُقابن سان اٽڪان،
مان واهَر ٿي واهيرن جي!",Sheikh Ayaz
"آ رات لَڙي، هُو اچڻو آ،
تون ڇوڙ نه پايَل پيرن جي.",Sheikh Ayaz
"مون مُرڪي پنهنجو پاند ڏٺو،
رُتِ آئي ڳاڙهن ٻيرن جي!",Sheikh Ayaz
"ميهارَ ملَڻ جي ويلا آ،
ڪَرِ ڳالهه گهَڙن ۽ گهيرن جي.",Sheikh Ayaz
"ٿي ساري سنڌ “اياز” نَچي،
ڇا ڇَم ڇَم آندَءِ ڇيرن جي!",Sheikh Ayaz
"اي قوم! ٻُڌايا ٿي قِصا ڪلهه توکي مون تقـــــديرن جا،
اڄ باغيءَ باغيءَ جي سِــــر تـــي، ٿو تـــاجَ ڏســــان تعــذيــــزن جـــا.",Sheikh Ayaz
"ڪو ڪيئن نه ڊوڙي مقتل ڏي، آ رَتُ ۾ خوشبو مينديءَ جي،
ڪو ڪيئن نه موٽي زندان ڏي، ٿا زُلف ڇِڪن زنجيرن جا!",Sheikh Ayaz
"هُو ڪُوڙا ڪانئر ڪَـــــــڙڪَــــن ٿا، ۽ لاش هوا ۾ لَڙڪن ٿا،
پر ڳاڙها جھنڊا ڦَڙڪـــــــــــن ٿا ، ڇا رنگ ڏِٺم رهگيرن جــــا ! .",Sheikh Ayaz
"اڄ لال لَهوءَ جي سَرگم تي، ٿــــي مُنهنـــجي ڌرتي رقص ڪَري،
مُنـــــهن هيڊَ ٿيا غَـــــــدارن جا، بي شـــــرم وڏيــــــرن پـــيـــرن جا.",Sheikh Ayaz
"هِي ماڻــــــهو وِھَه جـــــو ڍُڪّ ٿيا، جئن لُڪ لڳي تئن رُڪ ٿيا،
اڄ آزاديءَ جي نـــــــعري ســـــان، ســـــڀ درد ويا دلـــــگـــيـــرن جا.",Sheikh Ayaz
"هَر دوکي جي ديوار ڊَٺي ۽ اُن جــــــي سِـــرَ ســـــِرَ ســـــان نه ملي،
اڄ ڊوڙي هـــــــر ڪــــــــــو ديــــــــوانو ٿــو کـــــولي بندَ اَسيرن جا.",Sheikh Ayaz
"اڄ هر ڪــــــــــــنهن جو هـــــي رايو آ، تو نينهنُ ‘ايــاز’ نڀــــايو آ،
تو ڳــــــــاتا گيت بغاوت جا، تو لاٿا زنگَ ضميرن جا",Sheikh Ayaz
"سو وقت به اچڻو آ ساٿي! هي خوابُ حقيقت ٿي ويندو،
جذبات اِئين اُڀِري ايندِي، هر حرف قيامت ٿي ويندو.",Sheikh Ayaz
"هي ٿَنڀا ٿوڻيون ڦاهيءَ جا، رَهندا نه وڏيري شاهيءَ جا،
ڪو آزاديءَ اشارو ڄڻ هي لفظ ‘سياست’ ٿي ويندو.",Sheikh Ayaz
"ڪا سُهڻي ڪو ميهارُ ٻُڏو پر پارِ هزارن ۾ ويندا،
درياههَ جڏهن دَڙَ لاتا پو، هُو سارو دَهشت ٿي ويندو.",Sheikh Ayaz
"جنهن وقت به نڪتي سِجَ ڪَني، ٿِي پنهنجي چانديءَ جيئن ٻَني،
وَرُ ساريندو آ جِيئن وَنِي، انسانُ محبت ٿي ويندو.",Sheikh Ayaz
"دنيا ته ’اياز‘ ڦِري پيئي، ڏِس! ڏِس! ديوارِ ڪِري پيئي!
هي رَنج ته سارو سپنو آ ۽ آخر راحت ٿِي ويندو",Sheikh Ayaz
